Category,Discounted,SoldBy,Url,Title,CurrentPrice,Savings,OriginalPrice,SellerRating
,False,,https://uae.souq.com/ae-en/pleated-skirt-for-women-23231668/i/,,,-63.00 ,,(38% Positive Rating)
,True,,https://uae.souq.com/ae-en/tally-weijl-black-asymmetric-skirt-for-women-30629498/i/,,,30.00 ,89.00 ,
,False,,https://uae.souq.com/ae-en/rainbow-skirt-half-skirt-children-s-multicolor-skirt-32516928/i/,,,-69.00 ,,(No ratings yet)
,True,,https://uae.souq.com/ae-en/bebe-pink-polyester-body-con-skirt-for-women-11491311/i/,,,613.00 ,692.00 ,
,False,,https://uae.souq.com/ae-en/black-chiffon-skater-skirt-for-girls-8157029/i/,,,-50.00 ,,(80% Positive Rating)
,True,,https://uae.souq.com/ae-en/glamorous-light-grey-polyester-straight-skirt-for-women-11539469/i/,,,117.95 ,166.95 ,(81% Positive Rating)
,False,,https://uae.souq.com/ae-en/wrap-skirt-for-women-24402186/i/,,,-26.00 ,,(40% Positive Rating)
,True,,https://uae.souq.com/ae-en/only-body-con-skirt-for-women-black-23141137/i/,,,75.00 ,104.00 ,
,True,,https://uae.souq.com/ae-en/black-chiffon-skirts-skirt-for-women-10467248/i/,,,93.50 ,136.50 ,
,True,,https://uae.souq.com/ae-en/tally-weijl-body-con-skirt-for-women-black-29991652/i/,,,17.55 ,69.00 ,
,False,,https://uae.souq.com/ae-en/pink-chiffon-straight-skirt-for-women-11395498/i/,,,-48.99 ,,
,True,,https://uae.souq.com/ae-en/grey-chiffon-straight-skirt-for-women-10622081/i/,,,66.04 ,84.00 ,
,False,,https://uae.souq.com/ae-en/a-line-skirt-for-women-24480660/i/,,,-120.00 ,,(38% Positive Rating)
,False,,https://uae.souq.com/ae-en/moana-layered-skirt-for-girls-24089209/i/,,,-77.00 ,,(78% Positive Rating)
,True,,https://uae.souq.com/ae-en/black-chiffon-layered-skirt-for-women-10691494/i/,,,7.02 ,126.00 ,(38% Positive Rating)
,False,,https://uae.souq.com/ae-en/blue-a-line-skirt-for-women-22185414/i/,,,-90.00 ,,(38% Positive Rating)
,True,,https://uae.souq.com/ae-en/blue-chiffon-straight-skirt-for-women-11512734/i/,,,68.01 ,147.00 ,(38% Positive Rating)
